縣市,縣市人數,地址,等級,公廁所在場所,公廁性質,尿布台組,數字
高雄市,2715827,高雄市旗津區南汕里旗津三路2號,特優級,民眾洽公場所,混合廁所,0,
高雄市,2715827,高雄市旗津區南汕里旗津三路2號,特優級,民眾洽公場所,混合廁所,0,
高雄市,2715827,高雄市旗津區南汕里旗津三路2號,特優級,民眾洽公場所,混合廁所,0,
臺南市,2868409,臺南市麻豆區大埕里臺南市麻豆區大埕里忠孝路６號,特優級,商業營業場所,女廁所,0,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市前鎮區盛興里三多三路217號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市前鎮區盛興里三多三路213號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市鼓山區龍子里博愛二路21號,特優級,交通,女廁所,1,
高雄市,2715827,高雄市前鎮區盛興里三多三路213號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市前鎮區盛興里三多三路213號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市鼓山區明誠里博愛二路485號,特優級,交通,男廁所,1,
高雄市,2715827,高雄市鼓山區明誠里博愛二路485號,特優級,交通,女廁所,0,
高雄市,2715827,高雄市前鎮區盛興里三多三路213號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市鼓山區麗興里鼓山一路32號,特優級,交通,男廁所,1,
高雄市,2715827,高雄市前鎮區盛興里三多三路213號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市鼓山區麗興里臨海二路17-1號,特優級,交通,女廁所,1,
高雄市,2715827,高雄市前鎮區盛興里三多三路213號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市鼓山區寶樹里鼓山二路166號,特優級,民眾洽公場所,男廁所,0,
高雄市,2715827,高雄市前鎮區盛興里三多三路213號,特優級,商業營業場所,男廁所,0,
高雄市,2715827,高雄市鼓山區寶樹里鼓山二路166號,特優級,民眾洽公場所,女廁所,1,
高雄市,2715827,高雄市前鎮區盛興里三多三路213號,特優級,商業營業場所,女廁所,1,
高雄市,2715827,高雄市鼓山區寶樹里鼓山二路166號,特優級,民眾洽公場所,男廁所,0,
高雄市,2715827,高雄市前鎮區盛興里三多三路213號,特優級,商業營業場所,無障礙廁所,0,
高雄市,2715827,高雄市鼓山區寶樹里鼓山二路166號,特優級,民眾洽公場所,女廁所,1,
高雄市,2715827,高雄市鼓山區寶樹里鼓山二路166號,特優級,民眾洽公場所,男廁所,0,
高雄市,2715827,高雄市鼓山區寶樹里鼓山二路166號,特優級,民眾洽公場所,女廁所,0,
高雄市,2715827,高雄市鼓山區寶樹里鼓山二路166號,特優級,民眾洽公場所,男廁所,0,
